,Date,Open,High,Low,Close,Average
0,2021-03-03,98.3,99.4,98.2,98.4,98.65880297
1,2021-03-02,100.0,101.8,98.0,99.3,99.96
2,2021-03-01,98.2,99.3,98.2,99.2,98.56
3,2021-02-26,97.3,99.0,97.0,98.2,97.59
4,2021-02-25,99.0,99.5,97.6,98.2,98.35
5,2021-02-24,100.5,101.0,96.5,98.1,99.38
6,2021-02-23,100.0,101.0,99.2,100.0,99.81
7,2021-02-22,100.5,102.0,100.3,100.6,101.19
8,2021-02-19,99.2,101.7,99.1,101.3,100.69
9,2021-02-18,99.0,102.0,98.0,102.0,99.88
10,2021-02-17,97.5,100.0,97.5,100.0,98.71
11,2021-02-09,97.0,97.4,93.1,97.2,94.11
12,2021-02-08,99.0,99.8,93.1,94.1,95.27
13,2021-02-05,98.9,100.0,97.9,100.0,98.61
14,2021-02-04,98.9,99.0,93.9,98.9,98.01
15,2021-02-03,97.9,99.0,96.6,98.9,98.01
16,2021-02-02,92.0,96.7,92.0,96.5,94.37
17,2021-02-01,96.0,96.0,91.0,91.1,93.99
18,2021-01-29,85.5,96.9,85.5,93.0,92.88
19,2021-01-28,92.0,93.3,90.6,90.6,91.46
20,2021-01-27,99.1,100.0,93.9,97.4,97.69
21,2021-01-26,102.5,102.5,99.0,100.9,100.82
22,2021-01-25,101.1,103.0,101.1,102.5,102.54
23,2021-01-22,103.0,104.0,102.0,103.0,103.04
24,2021-01-21,99.1,103.0,98.0,103.0,99.98
25,2021-01-20,99.0,105.9,98.0,99.1,101.13
26,2021-01-19,103.1,103.3,96.1,99.0,98.95
27,2021-01-18,103.5,105.0,103.0,103.3,103.6
28,2021-01-15,104.8,104.9,102.5,103.2,103.33
29,2021-01-14,105.0,105.2,103.3,103.9,104.3
30,2021-01-13,105.6,106.1,104.0,104.8,105.39
31,2021-01-12,105.6,105.6,104.2,105.6,104.83
32,2021-01-11,104.6,105.7,104.1,104.5,104.87
33,2021-01-08,108.0,108.0,104.5,104.8,106.79
34,2021-01-07,104.0,108.5,104.0,107.0,106.28
35,2021-01-06,99.5,106.2,99.3,105.0,103.02
36,2021-01-05,99.0,100.6,99.0,99.3,99.91
37,2021-01-04,98.0,99.8,97.3,99.0,98.58
38,2020-12-31,97.9,99.0,97.0,97.9,98.15
39,2020-12-30,99.2,99.6,97.5,97.9,99.3
40,2020-12-29,98.0,99.8,97.8,99.2,98.69
41,2020-12-28,98.0,98.2,97.3,98.0,97.79
42,2020-12-25,97.0,97.6,96.7,97.6,97.27
43,2020-12-24,97.9,97.9,96.0,97.3,97.11
44,2020-12-23,97.5,98.5,96.9,97.5,97.59
45,2020-12-22,98.0,98.1,97.5,97.9,97.81
46,2020-12-21,98.9,99.0,97.3,98.9,98.48
47,2020-12-18,96.0,98.9,96.0,98.9,97.7
48,2020-12-17,98.6,98.6,95.0,96.0,97.12
49,2020-12-16,98.5,99.9,97.8,99.9,98.91
50,2020-12-15,99.0,99.8,96.5,97.8,97.75
51,2020-12-14,97.2,99.9,95.9,99.9,97.56
52,2020-12-11,97.2,97.3,95.9,97.2,96.91
53,2020-12-10,96.5,97.7,96.4,97.2,97.07
54,2020-12-09,93.6,96.5,93.2,96.5,95.03
55,2020-12-08,93.0,93.9,91.5,93.1,93.33
56,2020-12-07,91.4,93.3,91.4,93.1,92.26
57,2020-12-04,93.2,93.5,91.1,91.1,92.58
58,2020-12-03,93.5,93.9,92.4,93.5,93.3
59,2020-12-02,92.0,93.5,91.5,93.5,92.58
